k,c,t,alpha_line
1,out,1,0
1,out,2,0
1,out,3,0
1,out,4,0
1,out,5,0
1,out,6,0
1,out,7,0
1,out,8,0
1,out,9,0
1,out,10,0
1,out,11,0
1,out,12,0
1,out,13,0
1,out,14,0
1,out,15,0
1,out,16,0
1,out,17,0
1,out,18,0
1,out,19,0
1,out,20,0
1,out,21,0
1,out,22,0
1,out,23,0
1,out,24,0
1,out,25,0
1,out,26,0
1,out,27,0
2,BB,1,-0.5986393263690599
2,BB,2,-0.5959326104227732
2,BB,3,-0.5932258944764867
2,BB,4,-0.5905191785302
2,BB,5,-0.5878124625839134
2,BB,6,-0.5851057466376267
2,BB,7,-0.5823990306913401
2,BB,8,-0.5796923147450534
2,BB,9,-0.5769855987987669
2,BB,10,-0.5742788828524802
2,BB,11,-0.5715721669061936
2,BB,12,-0.5688654509599069
2,BB,13,-0.5661587350136204
2,BB,14,-0.5634520190673337
2,BB,15,-0.5607453031210471
2,BB,16,-0.5580385871747604
2,BB,17,-0.5553318712284738
2,BB,18,-0.5526251552821871
2,BB,19,-0.5499184393359006
2,BB,20,-0.5472117233896139
2,BB,21,-0.5445050074433273
2,BB,22,-0.5417982914970406
2,BB,23,-0.539091575550754
2,BB,24,-0.5363848596044674
2,BB,25,-0.5336781436581808
2,BB,26,-0.5309714277118941
2,BB,27,-0.5282647117656075
3,HBP,1,-1.7915203681134542
3,HBP,2,-1.7793612530924414
3,HBP,3,-1.7672021380714287
3,HBP,4,-1.7550430230504162
3,HBP,5,-1.7428839080294034
3,HBP,6,-1.7307247930083907
3,HBP,7,-1.718565677987378
3,HBP,8,-1.7064065629663652
3,HBP,9,-1.6942474479453524
3,HBP,10,-1.68208833292434
3,HBP,11,-1.6699292179033272
3,HBP,12,-1.6577701028823144
3,HBP,13,-1.6456109878613017
3,HBP,14,-1.633451872840289
3,HBP,15,-1.6212927578192762
3,HBP,16,-1.6091336427982634
3,HBP,17,-1.5969745277772507
3,HBP,18,-1.5848154127562382
3,HBP,19,-1.5726562977352254
3,HBP,20,-1.5604971827142127
3,HBP,21,-1.5483380676932
3,HBP,22,-1.5361789526721872
3,HBP,23,-1.5240198376511747
3,HBP,24,-1.511860722630162
3,HBP,25,-1.4997016076091492
3,HBP,26,-1.4875424925881364
3,HBP,27,-1.4753833775671237
4,1B,1,-0.47170355828688704
4,1B,2,-0.4681660274981232
4,1B,3,-0.4646284967093593
4,1B,4,-0.4610909659205954
4,1B,5,-0.45755343513183155
4,1B,6,-0.45401590434306766
4,1B,7,-0.4504783735543038
4,1B,8,-0.4469408427655399
