k,c,pc,alpha_line
1,out,1,0
1,out,2,0
1,out,3,0
1,out,4,0
1,out,5,0
1,out,6,0
1,out,7,0
1,out,8,0
1,out,9,0
1,out,10,0
1,out,11,0
1,out,12,0
1,out,13,0
1,out,14,0
1,out,15,0
1,out,16,0
1,out,17,0
1,out,18,0
1,out,19,0
1,out,20,0
1,out,21,0
1,out,22,0
1,out,23,0
1,out,24,0
1,out,25,0
1,out,26,0
1,out,27,0
1,out,28,0
1,out,29,0
1,out,30,0
1,out,31,0
1,out,32,0
1,out,33,0
1,out,34,0
1,out,35,0
1,out,36,0
1,out,37,0
1,out,38,0
1,out,39,0
1,out,40,0
1,out,41,0
1,out,42,0
1,out,43,0
1,out,44,0
1,out,45,0
1,out,46,0
1,out,47,0
1,out,48,0
1,out,49,0
1,out,50,0
1,out,51,0
1,out,52,0
1,out,53,0
1,out,54,0
1,out,55,0
1,out,56,0
1,out,57,0
1,out,58,0
1,out,59,0
1,out,60,0
1,out,61,0
1,out,62,0
1,out,63,0
1,out,64,0
1,out,65,0
1,out,66,0
1,out,67,0
1,out,68,0
1,out,69,0
1,out,70,0
1,out,71,0
1,out,72,0
1,out,73,0
1,out,74,0
1,out,75,0
1,out,76,0
1,out,77,0
1,out,78,0
1,out,79,0
1,out,80,0
1,out,81,0
1,out,82,0
1,out,83,0
1,out,84,0
1,out,85,0
1,out,86,0
1,out,87,0
1,out,88,0
1,out,89,0
1,out,90,0
1,out,91,0
1,out,92,0
1,out,93,0
1,out,94,0
1,out,95,0
1,out,96,0
1,out,97,0
1,out,98,0
1,out,99,0
1,out,100,0
1,out,101,0
1,out,102,0
1,out,103,0
1,out,104,0
1,out,105,0
1,out,106,0
1,out,107,0
1,out,108,0
1,out,109,0
1,out,110,0
1,out,111,0
1,out,112,0
1,out,113,0
1,out,114,0
1,out,115,0
1,out,116,0
1,out,117,0
1,out,118,0
1,out,119,0
1,out,120,0
1,out,121,0
1,out,122,0
1,out,123,0
1,out,124,0
1,out,125,0
1,out,126,0
1,out,127,0
1,out,128,0
1,out,129,0
1,out,130,0
1,out,131,0
1,out,132,0
1,out,133,0
1,out,134,0
1,out,135,0
1,out,136,0
1,out,137,0
1,out,138,0
1,out,139,0
1,out,140,0
1,out,141,0
1,out,142,0
1,out,143,0
1,out,144,0
1,out,145,0
1,out,146,0
1,out,147,0
1,out,148,0
1,out,149,0
1,out,150,0
1,out,151,0
1,out,152,0
1,out,153,0
1,out,154,0
1,out,155,0
1,out,156,0
1,out,157,0
1,out,158,0
1,out,159,0
1,out,160,0
1,out,161,0
