eta,k,c,p
0,1,out,1
0,1,out,2
0,1,out,3
0,1,out,4
0.8653118115012854,2,BB,1
1.128229194381788,2,BB,2
-0.20136662219512705,2,BB,3
0.07922967010804355,2,BB,4
1.4084143846879793,3,HBP,1
1.9869212280413218,3,HBP,2
0.1664336976651311,3,HBP,3
-0.0776714576717015,3,HBP,4
0.3713057952182345,4,1B,1
1.0505229416811754,4,1B,2
-0.01635922227132075,4,1B,3
0.024532748518509156,4,1B,4
0.8560881985281956,5,2B,1
1.472527063913424,5,2B,2
-0.04195959141137843,5,2B,3
-0.0010310264193873976,5,2B,4
1.3994017538320964,6,3B,1
3.2857130070780225,6,3B,2
-0.462063066891628,6,3B,3
0.10709934897151879,6,3B,4
1.5251387576991187,7,HR,1
1.8504450279171858,7,HR,2
-0.0958349019824655,7,HR,3
-0.02300898595323787,7,HR,4
