k,c,t,alpha_line
1,out,1,0
1,out,2,0
1,out,3,0
1,out,4,0
1,out,5,0
1,out,6,0
1,out,7,0
1,out,8,0
1,out,9,0
1,out,10,0
1,out,11,0
1,out,12,0
1,out,13,0
1,out,14,0
1,out,15,0
1,out,16,0
1,out,17,0
1,out,18,0
1,out,19,0
1,out,20,0
1,out,21,0
1,out,22,0
1,out,23,0
1,out,24,0
1,out,25,0
1,out,26,0
1,out,27,0
2,BB,1,-0.551378229991391
2,BB,2,-0.5538778658225242
2,BB,3,-0.5554842027023968
2,BB,4,-0.5563236108199635
2,BB,5,-0.5565224603641786
2,BB,6,-0.5562071215239969
2,BB,7,-0.5555039644883728
2,BB,8,-0.554539359446261
2,BB,9,-0.5534396765866161
2,BB,10,-0.5523312860983924
2,BB,11,-0.5513405581705446
2,BB,12,-0.5505938629920275
2,BB,13,-0.5502175707517952
2,BB,14,-0.5503380516388028
2,BB,15,-0.5510816758420044
2,BB,16,-0.5525748135503548
2,BB,17,-0.5549438349528084
2,BB,18,-0.5583151102383198
2,BB,19,-0.5628150095958437
2,BB,20,-0.5685699032143346
2,BB,21,-0.575706161282747
2,BB,22,-0.5843501539900355
2,BB,23,-0.5946282515251547
2,BB,24,-0.606666824077059
2,BB,25,-0.6205922418347033
2,BB,26,-0.6365308749870418
2,BB,27,-0.6546090937230291
3,HBP,1,-1.8533899144871773
3,HBP,2,-1.8009600593366069
3,HBP,3,-1.7579902199975657
3,HBP,4,-1.7236139580532253
3,HBP,5,-1.696964835086757
3,HBP,6,-1.677176412681333
3,HBP,7,-1.6633822524201245
3,HBP,8,-1.654715915886303
3,HBP,9,-1.6503109646630403
3,HBP,10,-1.6493009603335076
3,HBP,11,-1.650819464480877
3,HBP,12,-1.65400003868832
3,HBP,13,-1.6579762445390078
3,HBP,14,-1.6618816436161121
3,HBP,15,-1.664849797502805
3,HBP,16,-1.6660142677822578
3,HBP,17,-1.6645086160376417
3,HBP,18,-1.6594664038521292
3,HBP,19,-1.6500211928088908
3,HBP,20,-1.6353065444910981
3,HBP,21,-1.614456020481924
3,HBP,22,-1.5866031823645392
3,HBP,23,-1.5508815917221153
3,HBP,24,-1.5064248101378237
3,HBP,25,-1.452366399194836
3,HBP,26,-1.3878399204763245
3,HBP,27,-1.31197893556546
4,1B,1,-0.46858783462651693
4,1B,2,-0.47142580194558154
4,1B,3,-0.4723246961036384
4,1B,4,-0.4714442717274073
4,1B,5,-0.4689442834436078
4,1B,6,-0.46498448587895946
4,1B,7,-0.45972463366018207
4,1B,8,-0.4533244814139952
