k,c,t,alpha_line
1,out,1,0
1,out,2,0
1,out,3,0
1,out,4,0
1,out,5,0
1,out,6,0
1,out,7,0
1,out,8,0
1,out,9,0
1,out,10,0
1,out,11,0
1,out,12,0
1,out,13,0
1,out,14,0
1,out,15,0
1,out,16,0
1,out,17,0
1,out,18,0
1,out,19,0
1,out,20,0
1,out,21,0
1,out,22,0
1,out,23,0
1,out,24,0
1,out,25,0
1,out,26,0
1,out,27,0
2,BB,1,-0.5313460423153464
2,BB,2,-0.5313460423153464
2,BB,3,-0.5313460423153464
2,BB,4,-0.5313460423153464
2,BB,5,-0.5313460423153464
2,BB,6,-0.5313460423153464
2,BB,7,-0.5313460423153464
2,BB,8,-0.5313460423153464
2,BB,9,-0.5313460423153464
2,BB,10,-0.5313460423153464
2,BB,11,-0.5313460423153464
2,BB,12,-0.5313460423153464
2,BB,13,-0.5313460423153464
2,BB,14,-0.5313460423153464
2,BB,15,-0.5313460423153464
2,BB,16,-0.5313460423153464
2,BB,17,-0.5313460423153464
2,BB,18,-0.5313460423153464
2,BB,19,-0.5313460423153464
2,BB,20,-0.5313460423153464
2,BB,21,-0.5313460423153464
2,BB,22,-0.5313460423153464
2,BB,23,-0.5313460423153464
2,BB,24,-0.5313460423153464
2,BB,25,-0.5313460423153464
2,BB,26,-0.5313460423153464
2,BB,27,-0.5313460423153464
3,HBP,1,-1.803679483134467
3,HBP,2,-1.803679483134467
3,HBP,3,-1.803679483134467
3,HBP,4,-1.803679483134467
3,HBP,5,-1.803679483134467
3,HBP,6,-1.803679483134467
3,HBP,7,-1.803679483134467
3,HBP,8,-1.803679483134467
3,HBP,9,-1.803679483134467
3,HBP,10,-1.803679483134467
3,HBP,11,-1.803679483134467
3,HBP,12,-1.803679483134467
3,HBP,13,-1.803679483134467
3,HBP,14,-1.803679483134467
3,HBP,15,-1.803679483134467
3,HBP,16,-1.803679483134467
3,HBP,17,-1.803679483134467
3,HBP,18,-1.803679483134467
3,HBP,19,-1.803679483134467
3,HBP,20,-1.803679483134467
3,HBP,21,-1.803679483134467
3,HBP,22,-1.803679483134467
3,HBP,23,-1.803679483134467
3,HBP,24,-1.803679483134467
3,HBP,25,-1.803679483134467
3,HBP,26,-1.803679483134467
3,HBP,27,-1.803679483134467
4,1B,1,-0.47524108907565094
4,1B,2,-0.47524108907565094
4,1B,3,-0.47524108907565094
4,1B,4,-0.47524108907565094
4,1B,5,-0.47524108907565094
4,1B,6,-0.47524108907565094
4,1B,7,-0.47524108907565094
4,1B,8,-0.47524108907565094
4,1B,9,-0.47524108907565094
