EVENT_WOBA,WOBA_CUMU_BAT,WOBA_CUMU_PIT,HAND_MATCH,BAT_HOME_IND,PIT_REST,DAYS_SINCE_SZN_START,IN_DIV,IN_LEAGUE,PITCH_COUNT_CUMU,FIELD_POS,OUTS_CT,ORDER_CT,BATTER_IDX
0,0,0,1,0,6,5,1,1,4,4,0,1,1
0,0,0,0,0,6,5,1,1,6,3,1,1,2
0.883,0.883,0.29433333333333334,0,0,6,5,1,1,11,8,2,1,3
0,0,0.22075,1,0,6,5,1,1,13,5,2,1,4
0.699,0.699,0.699,0,1,6,5,1,1,5,6,0,1,1
0,0,0.3495,0,1,6,5,1,1,7,8,0,1,2
0,0,0.23299999999999998,0,1,6,5,1,1,11,5,2,1,3
0.883,0.883,0.3532,0,0,6,5,1,1,17,10,0,1,5
0,0,0.29433333333333334,1,0,6,5,1,1,20,6,0,1,6
0,0,0.2522857142857143,0,0,6,5,1,1,23,7,1,1,7
0,0,0.17475,0,1,6,5,1,1,13,7,0,1,4
0,0,0.13979999999999998,1,1,6,5,1,1,16,10,1,1,5
0,0,0.11649999999999999,0,1,6,5,1,1,20,3,2,1,6
0,0,0.22075,1,0,6,5,1,1,28,9,0,1,8
0.699,0.699,0.27388888888888885,0,0,6,5,1,1,34,2,1,1,9
0,0,0.2465,1,0,6,5,1,1,37,4,1,2,1
0,0,0.2240909090909091,0,0,6,5,1,1,39,3,2,2,2
0.699,0.699,0.1997142857142857,1,1,6,5,1,1,27,4,0,1,7
0,0,0.17475,0,1,6,5,1,1,38,2,0,1,8
0.883,0.883,0.2534444444444444,0,1,6,5,1,1,44,9,1,1,9
0.883,0.7909999999999999,0.31639999999999996,0,1,6,5,1,1,46,6,1,2,1
0,0,0.28763636363636363,0,1,6,5,1,1,51,8,1,2,2
0.699,0.3495,0.3219166666666667,0,1,6,5,1,1,58,5,2,2,3
0.883,0.4415,0.365076923076923,0,1,6,5,1,1,61,7,2,2,4
0,0,0.33899999999999997,1,1,6,5,1,1,65,10,2,2,5
0,0.4415,0.20541666666666666,0,0,6,5,1,1,43,8,0,2,3
0,0,0.1896153846153846,1,0,6,5,1,1,44,5,1,2,4
1.979,1.431,0.31742857142857145,0,0,6,5,1,1,49,10,2,2,5
0,0,0.2962666666666667,1,0,6,5,1,1,51,6,2,2,6
0.883,0.4415,0.37526666666666664,0,1,6,5,1,1,68,3,0,2,6
0.699,0.699,0.39549999999999996,1,1,6,5,1,1,73,4,0,2,7
1.238,0.619,0.355125,0,0,6,5,1,1,57,7,0,2,7
0,0,0.3342352941176471,1,0,6,5,1,1,62,9,0,2,8
0,0.1766,0,1,0,5,6,1,1,3,6,0,1,1
0,0.13979999999999998,0,0,0,5,6,1,1,8,3,1,1,2
0,0.3532,0,0,0,5,6,1,1,13,8,2,1,3
0,0.5273333333333333,0,1,1,6,6,1,1,3,6,0,1,1
0,0.14716666666666667,0,1,1,6,6,1,1,11,8,1,1,2
0.699,0.6793333333333332,0.23299999999999998,1,1,6,6,1,1,17,5,2,1,3
0,0.20633333333333334,0.17475,0,1,6,6,1,1,18,10,2,1,4
0,0,0,1,0,5,6,1,1,16,5,0,1,4
0,0.5724,0,0,0,5,6,1,1,20,9,1,1,5
0,0,0,1,0,5,6,1,1,23,10,2,1,6
0,0.14716666666666667,0.13979999999999998,1,1,6,6,1,1,24,7,0,1,5
0,0.35433333333333333,0.11649999999999999,0,1,6,6,1,1,27,4,1,1,6
0,0,0.09985714285714285,0,1,6,6,1,1,35,3,2,1,7
0.883,0.6008,0.12614285714285714,0,0,5,6,1,1,25,7,0,1,7
0,0,0.110375,1,0,5,6,1,1,33,4,1,1,8
0,0.17475,0.09811111111111111,0,0,5,6,1,1,39,2,2,1,9
0,0,0.087375,0,1,6,6,1,1,41,2,0,1,8
0,0,0.07766666666666666,0,1,6,6,1,1,43,9,1,1,9
0,0.45199999999999996,0.06989999999999999,1,1,6,6,1,1,46,6,2,2,1
0.883,0.29433333333333334,0.1766,1,0,5,6,1,1,42,6,0,2,1
0,0.11649999999999999,0.16054545454545455,0,0,5,6,1,1,46,3,0,2,2
0.883,0.4415,0.22075,0,0,5,6,1,1,48,8,1,2,3
0.883,0.14716666666666667,0.2716923076923077,1,0,5,6,1,1,49,5,1,2,4
0,0.47700000000000004,0.2522857142857143,0,0,5,6,1,1,50,9,1,2,5
0,0,0.23546666666666666,1,0,5,6,1,1,55,10,2,2,6
0,0.12614285714285714,0.06354545454545454,1,1,6,6,1,1,49,8,0,2,2
0.699,0.6821428571428572,0.11649999999999999,1,1,6,6,1,1,54,5,0,2,3
