"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"beta_b0",-1.90130459972581,0.00847439386805312,0.017770117533899,-1.91826883399086,-1.91370868298747,-1.90786155383109,-1.90025440812051,-1.85873916297567,4.39706930171383,1.23873886563676
"beta_b1",1.06020062300816,0.00823429549304052,0.0200765131791562,1.03450692421361,1.05226232561318,1.05391974215993,1.0592053734832,1.11303097164714,5.94461428398854,1.07992572464084
"BATTER_IDX1",0.00610169314050352,0.0781095118269122,0.165819301982705,-0.44807991778098,-0.0908975090351426,0.0193970319748924,0.155881120514071,0.211758966519522,4.5067380747411,1.1326336196052
"BATTER_IDX2",0.00507810473707674,0.0683766892560867,0.140126678329799,-0.324749728856557,-0.0915863684840387,0.00714767612102933,0.139207067025318,0.198728357041361,4.19977009710466,1.15040791564003
"BATTER_IDX3",-0.00436077643395427,0.0612175652081793,0.12318368022839,-0.25800589520273,-0.0973094702479206,-0.0124064998822565,0.110381976273005,0.180610456231995,4.04906030283761,1.18362774163897
"BATTER_IDX4",-0.0165655171934104,0.0747598148546417,0.144424960332135,-0.271871337411899,-0.124803355596668,-0.00385720186778044,0.106919197258378,0.19042100443788,3.73205537925634,1.28897017734847
"BATTER_IDX5",-0.0977465345021328,0.125074358087014,0.219582795677704,-0.481134979218985,-0.192039212166011,-0.0545414496291408,0.077358062259483,0.188830628776116,3.08219459790533,1.64671601804083
"BATTER_IDX6",-0.0278996225621359,0.0712833578595762,0.131577721378145,-0.215525426621823,-0.120859834503064,-0.0505757940264691,0.0806138137660331,0.186761110350209,3.40712779698513,1.4815757563157
"BATTER_IDX7",0.0562050508297606,0.0356883087398925,0.0851813048505768,-0.108393412049887,-0.00738054224857733,0.0632778433613109,0.131553982568035,0.188108518021191,5.6968743711348,0.998462552437296
"BATTER_IDX8",0.0376796255147133,0.039368539147136,0.0848850187861132,-0.100086226939812,-0.0194266584087645,0.0144548717580958,0.0943434191572105,0.196718118159861,4.64904231251387,1.0938732275875
"BATTER_IDX9",0.163585355677859,0.0819617823075523,0.17147857719822,-0.101455964978015,0.070383209435902,0.138825786910829,0.208021753056664,0.474584483149924,4.37720569059429,1.40654686105523
"BATTER_IDX10",0.812580578071334,0.396276057038791,0.614930554013045,-0.117376691545641,0.130004707696904,0.974714862911829,1.37946625583049,1.51853787672807,2.40799997729436,2.96316617145367
"BATTER_IDX11",-1.0736258519072,0.299219686306913,0.527910236294279,-1.48252150664967,-1.45967302604277,-1.37263330338139,-0.687568339080016,-0.1005363185062,3.11271844866398,1.7853513398358
