"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"beta_b0",0.50396197486804,1.61161241867261e-05,0.000486469546752468,0.503053856824187,0.503640285956632,0.503980853315849,0.5042857432345,0.504858446835384,911.150475610772,1.00105621406336
"beta_b1",-3.06593909617732,0.806492125107068,1.3538482159408,-5.0922307404633,-4.29164341097059,-3.06594640566157,-2.11579155042593,-0.266196467284878,2.81799158392696,2.68373794142949
"BATTER_IDX1",2.74587804962127,0.805000588684524,1.35258194860971,-0.053675552428423,1.78895930767735,2.79800552333415,3.9592115525206,4.77680083116184,2.82315535969723,2.67750565248567
"BATTER_IDX2",-3.06585328031437,0.806317456232944,1.35329274391466,-5.09393138011656,-4.28024569740078,-3.06756228099535,-2.1166451640482,-0.264497920998119,2.81689969176171,2.68379455286559
"BATTER_IDX3",-3.06977130707539,0.806378209384313,1.35330730352676,-5.09800959636862,-4.28397606839057,-3.07128972398679,-2.11993712556368,-0.268306596170306,2.81653585630126,2.68461277550927
"BATTER_IDX4",-3.07101116144889,0.806423199235626,1.35339109728894,-5.09806330864701,-4.28478026387237,-3.07110016097665,-2.11877146686871,-0.269329876585917,2.81657035856755,2.68498568483309
"BATTER_IDX5",-3.06549588468546,0.806437059897277,1.3534445200091,-5.09281070157943,-4.27935001988688,-3.06676678615835,-2.11521364136916,-0.265764795091711,2.81669589463392,2.68372992904836
"BATTER_IDX6",-3.06406025477305,0.806491698664926,1.35358534091982,-5.09051100230896,-4.27878560066166,-3.06652914506898,-2.114069215635,-0.262041731044359,2.81690033727828,2.68367662920324
"BATTER_IDX7",-3.06245545850464,0.806344242581094,1.35337564655246,-5.08927984193569,-4.27736980168775,-3.06326582389159,-2.11437723226832,-0.261552923980386,2.81705765677865,2.68321288170402
"BATTER_IDX8",-3.06048578614751,0.806355174287205,1.35341768833462,-5.0881418476764,-4.27390322249323,-3.06230036004886,-2.11080641750881,-0.260050978238596,2.81715629425163,2.68333712477554
"BATTER_IDX9",-3.05742250720162,0.806382315857215,1.35344876620745,-5.08486024956819,-4.27076843004372,-3.06005170000266,-2.10723654683761,-0.256984860177761,2.81709602603517,2.68245176672082
"BATTER_IDX10",-3.05907005335316,0.806454169997845,1.35360381739755,-5.08805488856869,-4.27179348651745,-3.06208370628216,-2.10801956765215,-0.258594005292045,2.81723942376321,2.68201450592368
"BATTER_IDX11",-3.0621254919249,0.806586605604945,1.3538164622114,-5.09235472604623,-4.27690928988686,-3.06309369928254,-2.11109309783332,-0.26085733288712,2.81719928866556,2.68351238003808
"BATTER_IDX12",-3.06173244648253,0.806678443457342,1.35405676700169,-5.09426518321918,-4.27756125921787,-3.0606568183746,-2.11009943922575,-0.260534127809769,2.81755784291979,2.68298750250943
"BATTER_IDX13",-3.0619092224647,0.806540767790556,1.35367771555604,-5.09663398649192,-4.28028974847743,-3.06218688782438,-2.11078236760152,-0.266836704428455,2.81694203471572,2.68389799410963
"BATTER_IDX14",-3.06197395014854,0.806453412951609,1.35365189851461,-5.09082311136762,-4.27974105712926,-3.06377310048071,-2.11125442432604,-0.268658635782984,2.8174448582868,2.68329703124654
"BATTER_IDX15",-3.06193884671822,0.806508203723666,1.35369411023793,-5.09019227866483,-4.27914164353585,-3.06223338672693,-2.11185897422454,-0.267957721695077,2.81723775555055,2.68426878283124
"BATTER_IDX16",-3.06192547508787,0.806580819367719,1.35377093082151,-5.08898106379695,-4.2794029409887,-3.06244734541106,-2.1110938139159,-0.266416020049696,2.81705021383651,2.68452369170317
"ORDER_CT1",-3.06213578468069,0.806600626978539,1.35386354089961,-5.08452958621995,-4.28024691864578,-3.06331987308957,-2.1115236644479,-0.265105490294204,2.81729727676859,2.68416342762059
"ORDER_CT2",2.74449181922491,0.806149602670731,1.35331469891428,-0.0543130216216577,1.79891627348454,2.75655225320793,3.9524655686991,4.77697552574104,2.81816430141754,2.68114180108929
"ORDER_CT3",2.75696090444852,0.806115429483215,1.35324001444508,-0.0402452251595495,1.81108789953581,2.76841654488636,3.9651725805722,4.79018362240465,2.81809217804749,2.68112701253398
"ORDER_CT4",2.76193902397067,0.806174272528118,1.3533666702309,-0.0359608014815426,1.81674055060949,2.77471448276907,3.96850857042666,4.79478891563899,2.81820826865715,2.68131283730457
"WOBA_FINAL_BAT_19",2.7602479009798,0.806065178467182,1.35318973097857,-0.0347058263015502,1.81436328257332,2.76879961666651,3.97134476084341,4.79341944074327,2.81823410449644,2.68071649737266
"WOBA_FINAL_PIT_19",1.03017236165301,0.00238251376447454,0.0143273866888773,1.0077280994578,1.01919592602295,1.02914880849538,1.03983824056584,1.05830700632446,36.1628898166359,1.0079701402495
"HAND_MATCH",0.984924274780942,0.00258775222156295,0.0171056139206966,0.953746079977793,0.972580002113852,0.982928869312109,0.996264849040962,1.01969061720867,43.6950208663656,0.998217134393088
"BAT_HOME_IND",-0.0185020210789172,5.30364858893279e-05,0.00130492370936075,-0.021355449201176,-0.0192972801804212,-0.0185345795638936,-0.0176181911106432,-0.0160877453079392,605.369815246243,0.99988943228068
"tau_b",0.01138211592583,4.69709155944529e-05,0.00142681686660158,0.0087280899368113,0.0103277591757783,0.0113425040639582,0.0124719949754756,0.0139603983299548,922.738024102059,0.998030314891008
"tau_o",0.0100450058165473,0.00072268124314438,0.00445747915762874,0.00448532111506208,0.00670840677937814,0.00884743510500378,0.0123162825717112,0.020864219180102,38.0439039410886,1.01473258443978
"sigma",0.0217200959416327,0.00145467690282363,0.0126924872369822,0.00760487175502921,0.0133412215461334,0.0180451297404449,0.0258823535175302,0.0574232406846534,76.1307983908417,1.000511763937
